edges,label
"(9904207, 10007)",1
"(9912160, 107141)",1
"(103132, 7020)",1
"(105180, 2072)",1
"(9908044, 4017)",1
"(9601070, 9605014)",0
"(9802109, 3148)",1
"(102207, 5276)",1
"(9912210, 9808162)",1
"(9905012, 5226)",1
"(9902120, 3187)",1
"(9807164, 5220)",1
"(9902138, 103023)",1
"(9912188, 104200)",1
"(9908023, 111187)",1
"(9510111, 2043)",1
"(106074, 104260)",1
"(12009, 10177)",1
"(9912120, 106231)",1
"(9805183, 10243)",1
"(9902105, 5211)",1
"(9608045, 12151)",1
"(109091, 101199)",1
"(9411057, 109175)",1
"(103158, 9183)",1
"(9902137, 11122)",1
"(9811208, 2249)",1
"(105214, 9244)",1
"(9708166, 3298)",1
"(9906182, 12196)",1
"(9511204, 10270)",1
"(102173, 7172)",0
"(9912147, 8194)",1
"(106231, 12198)",1
"(9912081, 7184)",1
"(9212151, 105229)",0
"(9910237, 8226)",1
"(9902067, 3115)",1
"(9401059, 1137)",1
"(9807080, 2199)",1
"(6236, 6085)",1
"(9609112, 106234)",1
"(9805189, 109197)",1
"(103115, 101206)",1
"(9701080, 101048)",1
"(101056, 8081)",1
"(9802174, 3009)",1
"(9912184, 9711200)",1
"(9907171, 9803024)",1
"(9610043, 8180)",1
"(9610172, 8068)",1
"(102129, 2138)",1
"(9501136, 109212)",1
"(9510161, 3069)",1
"(10278, 8039)",1
"(9910053, 104034)",1
"(9405110, 102140)",1
"(111079, 110146)",1
"(9910174, 11024)",1
"(9708003, 3211)",1
"(9312001, 106016)",1
"(9810185, 107184)",1
"(110142, 10138)",1
"(9304154, 10266)",1
"(105168, 8053)",1
"(9306002, 106268)",1
"(9909061, 9503124)",1
"(10122, 8016)",1
"(9903085, 2172)",1
"(9906064, 110263)",1
"(9510086, 11239)",1
"(5025, 4067)",1
"(9911158, 2078)",1
"(9606017, 103115)",1
"(9609052, 108008)",1
"(103029, 5170)",1
"(9403195, 3214)",1
"(9305130, 4154)",1
"(9408141, 9204033)",0
"(9912072, 9028)",1
"(12029, 11269)",1
"(9612218, 103132)",1
"(9603074, 111179)",1
"(9306002, 106275)",1
"(7011, 3136)",1
"(9902126, 101073)",1
"(9706141, 12182)",1
"(9912183, 9608022)",1
"(9912188, 10222)",1
"(9603097, 1005)",1
"(9808074, 112065)",1
"(103032, 3286)",1
"(9903205, 104232)",1
"(9605016, 5047)",1
"(6202, 5040)",1
"(9807161, 105168)",1
"(9906234, 6033)",1
"(9511071, 8074)",1
"(9711165, 1144)",1
"(9711162, 12183)",1
"(9811126, 6037)",1
"(9912073, 9805104)",1
"(9710023, 4186)",1
"(9105, 1084)",1
"(9912094, 3007)",1
"(9603161, 11059)",1
"(9612115, 110106)",1
"(112066, 106151)",1
"(9304135, 6247)",1
"(9311177, 105024)",1
"(9403195, 12075)",1
"(9807096, 7195)",1
"(9207016, 11039)",1
"(9910188, 9211139)",1
"(103226, 9190)",1
"(102189, 105178)",0
"(2154, 2116)",1
"(104021, 5006)",1
"(101070, 4044)",1
"(9802052, 12024)",1
"(9607049, 10166)",1
"(106155, 3198)",1
"(9611169, 111166)",1
"(105077, 2244)",1
"(112071, 110089)",1
"(9211021, 103239)",1
"(9905053, 106045)",1
"(9811191, 9412092)",1
"(11075, 3050)",0
"(8128, 2072)",1
"(9807226, 7052)",1
"(9402044, 103157)",1
"(9702093, 110067)",1
"(9803039, 102114)",1
"(9706175, 112145)",1
"(9911129, 8082)",1
"(107177, 101206)",1
"(9802069, 10072)",1
"(11269, 7090)",1
"(9708075, 7090)",1
"(9510017, 111187)",1
"(112140, 4056)",1
"(9809194, 4081)",1
"(9704043, 7170)",1
"(9906215, 104094)",1
"(9801182, 1093)",1
"(9510226, 105321)",1
"(9911116, 5114)",1
"(108092, 106109)",1
"(9703071, 4078)",1
"(9706110, 12030)",1
"(9608194, 1206)",1
"(9710119, 3299)",1
"(9505062, 10002)",1
"(9606144, 11197)",1
"(9707122, 107023)",1
"(9909056, 9802150)",1
"(9907214, 105277)",1
"(101035, 11072)",1
"(104168, 102056)",1
"(9905212, 9806177)",1
"(9808124, 106259)",1
"(9810239, 109130)",1
"(9705176, 6230)",1
"(9912018, 110055)",1
"(9411163, 12141)",1
"(9507121, 3230)",1
"(9905104, 10048)",1
"(9407087, 106045)",1
"(9403005, 10185)",0
"(103239, 1113)",1
"(106048, 3160)",1
"(6134, 3174)",1
"(9907111, 111202)",1
"(102145, 12143)",1
"(112169, 107046)",1
"(108193, 106145)",1
"(9507143, 105023)",1
"(9801133, 8086)",1
"(9211115, 103055)",1
"(106281, 5046)",1
"(9802109, 12050)",1
"(9705155, 11014)",1
"(9801127, 101018)",1
"(9601144, 111162)",1
"(9603142, 103239)",1
"(9908140, 3098)",1
"(102210, 4014)",1
"(9087, 5127)",1
"(9803205, 103161)",1
"(9301114, 2034)",1
"(9803044, 7140)",1
"(9605014, 7172)",0
"(110107, 12072)",1
"(110112, 8158)",0
"(9701127, 1149)",1
"(9905049, 11040)",1
"(9711097, 102173)",1
"(11170, 8204)",1
"(5153, 2237)",1
"(9803015, 3281)",1
"(9909140, 109021)",1
"(9605003, 108079)",1
"(9311183, 6033)",1
"(9908023, 5029)",1
"(9503030, 3198)",1
"(9906006, 9905175)",1
"(9802101, 6163)",1
"(109070, 11099)",1
"(9808017, 105171)",1
"(9905139, 110132)",1
"(9911147, 2198)",1
"(110173, 101126)",1
"(9711200, 109122)",1
"(9906087, 111248)",1
"(9903225, 9056)",1
"(9811022, 101113)",1
"(9806030, 107177)",1
"(12024, 7131)",1
"(108186, 5129)",1
"(9908142, 5148)",1
"(9308067, 9309096)",0
"(9911218, 111277)",1
"(6209, 6014)",1
"(9906064, 102023)",1
"(9312003, 2043)",1
"(106220, 104071)",1
"(9903205, 3200)",1
"(9908142, 11137)",1
"(107025, 5025)",1
"(9172, 6251)",1
"(12202, 109063)",0
"(102092, 6114)",1
"(9806086, 101075)",1
"(112252, 107039)",1
"(9909061, 9403179)",1
"(9711165, 5253)",1
"(9712159, 101126)",1
"(9911095, 9802183)",1
"(9909205, 111127)",1
"(9910149, 1002)",1
"(104254, 9042)",1
"(9810072, 106159)",1
"(9606045, 11007)",1
"(9403190, 109048)",1
"(9601038, 101043)",1
"(103208, 3160)",1
"(9610234, 7017)",1
"(9810246, 1210)",1
"(9308155, 11248)",1
"(9511151, 10067)",1
"(9908056, 106089)",1
"(9905049, 2039)",1
"(9309096, 8158)",0
"(9906064, 4144)",1
"(9510209, 111070)",1
"(9803232, 102128)",1
"(9702163, 109112)",1
"(108014, 2210)",1
"(9506014, 3184)",1
"(109099, 105023)",1
"(9409089, 111224)",1
"(111238, 101083)",1
"(9903187, 11088)",1
"(10004, 9122)",1
"(9810072, 6019)",1
"(9607163, 103011)",1
"(9909062, 11226)",1
"(110055, 1071)",1
"(110062, 109213)",1
"(9711162, 5204)",1
"(9911161, 106148)",1
"(103056, 10108)",1
"(107267, 106048)",1
"(11099, 10090)",1
"(9909118, 5130)",1
"(9812239, 106217)",1
"(9711165, 11079)",1
"(111127, 1107)",1
"(108124, 103051)",1
"(9907166, 11131)",1
"(9711200, 2230)",1
"(4147, 3160)",1
"(9811159, 12145)",1
"(10191, 8015)",1
"(9904024, 101188)",1
"(9909061, 9512012)",1
"(104236, 6018)",1
"(9603109, 105136)",1
"(9309096, 11075)",0
"(102177, 8234)",1
"(9910195, 9306153)",1
"(9904160, 4174)",1
"(9804184, 103047)",1
"(9509139, 103258)",1
"(105208, 11073)",1
"(111034, 105058)",1
"(108007, 105242)",1
"(9509050, 111254)",1
"(9403056, 102137)",1
"(9908142, 6005)",1
"(9808036, 101042)",0
"(106199, 9130)",1
"(9906200, 111086)",1
"(9408144, 1087)",0
"(9611074, 1138)",1
"(9803063, 4184)",1
"(110173, 3070)",1
"(9702133, 8249)",1
"(9310056, 9804015)",0
"(105175, 102112)",1
"(112093, 107134)",1
"(9610043, 10256)",1
"(9504046, 3019)",0
"(9906201, 2226)",1
"(109077, 6106)",1
"(9910053, 4113)",1
"(9810188, 9189)",1
"(9908072, 10279)",1
"(9510161, 4141)",1
"(9905174, 7202)",1
"(9905077, 3296)",1
"(106195, 9148)",1
"(9302047, 11092)",1
"(9808165, 12062)",1
"(9912272, 9605033)",1
"(110227, 8014)",1
"(9189, 8064)",1
"(9908088, 11034)",1
"(9808041, 105254)",1
"(9711162, 6169)",1
"(9702155, 104259)",1
"(9908170, 9020)",1
"(9806042, 112083)",1
"(104164, 3101)",1
"(9608024, 2016)",1
"(9601070, 9303132)",0
"(9906064, 6146)",1
"(9612022, 5165)",1
"(9906204, 10112)",1
"(104227, 9022)",1
"(9509080, 103099)",1
"(9806104, 109198)",1
"(11073, 8231)",1
"(9908075, 105019)",1
"(9911040, 9802150)",1
"(9912249, 106068)",1
"(9909179, 1178)",1
"(9906182, 9211)",1
"(12259, 7204)",1
"(9907003, 2031)",1
"(9210099, 102123)",1
"(9609102, 5215)",1
"(9704021, 8125)",1
"(9904054, 109173)",1
"(9602114, 7071)",1
"(9902105, 10016)",1
"(10045, 1201)",1
"(9911015, 10121)",1
"(110072, 104181)",1
"(9609176, 7115)",1
"(9201019, 8180)",1
"(9804096, 101060)",1
"(9803170, 112151)",1
"(9910246, 9711059)",1
"(9805139, 3085)",1
"(105292, 7198)",1
"(9309140, 105225)",1
"(9912182, 9912125)",1
"(9006, 1206)",1
"(4015, 2211)",1
"(109192, 9175)",1
"(105108, 11141)",1
"(9506001, 9605130)",0
"(11153, 6093)",1
"(105166, 11125)",1
"(103147, 11196)",1
"(9801087, 10286)",1
"(9905185, 1123)",1
"(9907113, 9171)",1
"(112137, 3037)",1
"(9912249, 5036)",1
"(102077, 2162)",1
"(9802162, 3180)",1
"(9408074, 11292)",1
"(9903038, 12194)",1
"(9711200, 11092)",1
"(9905177, 3058)",1
"(9809124, 110250)",1
"(9601092, 106258)",1
"(9907178, 12030)",1
"(9909107, 101143)",1
"(109066, 8120)",1
"(9910019, 7106)",1
"(104095, 12054)",1
"(9509162, 104037)",1
"(9804131, 11257)",1
"(11003, 4071)",1
"(9607233, 110067)",1
"(10099, 1071)",1
"(9908142, 10003)",1
"(9804015, 7077)",0
"(9912160, 3045)",1
"(9407079, 9910105)",0
"(106127, 102159)",1
"(104150, 6068)",1
"(9065, 2091)",1
"(9709103, 110017)",1
"(9903258, 104204)",1
"(9812100, 2032)",1
"(102147, 101042)",1
"(9905059, 5164)",1
"(110089, 109168)",1
"(11290, 4155)",1
"(8019, 7089)",1
"(9803056, 111159)",1
"(101209, 4147)",1
"(9902205, 108155)",1
"(9605104, 1185)",1
"(9804012, 5030)",1
"(9907152, 3211)",1
"(9510169, 103177)",1
"(110055, 1206)",1
"(9208, 4081)",1
"(110040, 11049)",1
"(9611173, 107172)",1
"(9910016, 107071)",1
"(9903205, 5178)",1
"(9907140, 3019)",1
"(9810025, 11184)",1
"(105188, 10060)",1
"(9802150, 7011)",1
"(111153, 111129)",1
"(9908142, 106046)",1
"(11177, 11160)",1
"(10060, 8033)",1
"(9906064, 107065)",1
"(106203, 9022)",1
"(9909068, 105123)",1
"(8087, 6093)",1
"(9708046, 2094)",1
"(9912105, 1021)",1
"(6165, 2154)",1
"(9706204, 101077)",1
"(9408144, 12251)",0
"(106282, 104023)",1
"(9705118, 103152)",1
"(12180, 5162)",1
"(105024, 4015)",1
"(7018, 3213)",1
"(9905115, 5162)",1
"(108172, 7062)",1
"(9805034, 111077)",1
"(9711201, 106274)",1
"(9801134, 109063)",1
"(12170, 2158)",1
"(9603061, 8226)",1
"(9912012, 5162)",1
"(9705021, 9511105)",1
"(9902105, 103103)",1
"(9906112, 101118)",1
"(9909053, 3299)",1
"(9802150, 9209)",1
"(105159, 8226)",1
"(9207016, 2133)",1
"(9808127, 108047)",1
"(8107, 3068)",1
"(102105, 10088)",1
"(9407114, 111222)",1
"(101035, 7161)",1
"(5007, 2067)",1
"(9305130, 7150)",1
"(9504090, 109055)",1
"(9309075, 3081)",1
"(9803235, 12100)",1
"(7215, 6225)",1
"(12062, 3158)",1
"(9912132, 2054)",1
"(12169, 5029)",1
"(9311177, 9103)",1
"(9903269, 1131)",1
"(9912027, 105158)",1
"(9608028, 106164)",1
"(9705037, 107128)",1
"(9510086, 12075)",1
"(9905162, 1135)",1
"(9802150, 110209)",1
"(9912212, 3007)",1
"(9802109, 109174)",1
"(9810218, 9312014)",0
"(9806240, 10172)",1
"(9806051, 111279)",1
"(9305163, 111110)",1
"(9906182, 105137)",1
"(10264, 6114)",1
"(9903031, 10223)",1
"(9907129, 112099)",1
"(106234, 6145)",1
"(9407167, 106082)",1
"(111008, 106151)",1
"(9609209, 106241)",1
"(9911117, 5212)",1
"(106205, 104133)",1
"(9606185, 6196)",1
"(107200, 10158)",1
"(9401043, 104208)",0
"(110284, 9163)",1
"(9609109, 101166)",1
"(102085, 9148)",1
"(9910093, 1166)",1
"(9205117, 3050)",0
"(9912249, 2211)",1
"(9908134, 5073)",1
"(9806180, 103047)",1
"(9704210, 1136)",1
"(12185, 10214)",1
"(9811035, 9146)",1
"(104010, 103179)",1
"(7168, 6225)",1
"(9912188, 9912151)",1
"(107099, 7030)",1
"(110143, 106054)",1
"(9407061, 105145)",0
"(9612115, 102157)",1
"(5206, 5016)",1
"(9510209, 110143)",1
"(111276, 110265)",1
"(9804138, 10052)",1
"(9909061, 9807135)",1
"(9604156, 7170)",1
"(9605130, 1082)",0
"(9911055, 102023)",1
"(9711200, 110085)",1
"(9909030, 101220)",1
"(101066, 1178)",1
"(9703062, 110225)",1
"(9912242, 2130)",1
"(110114, 5015)",1
"(9701149, 105288)",1
"(9311187, 5050)",0
"(9802150, 6192)",1
"(9803235, 104156)",1
"(102082, 101132)",1
"(9909202, 11205)",1
"(9505061, 108004)",1
"(11110, 3175)",1
"(9910105, 5248)",0
"(9610043, 4072)",1
"(9142, 7235)",1
"(9912164, 9911238)",1
"(9503124, 5271)",1
"(9911116, 2211)",1
"(9810243, 103246)",1
"(9510169, 109092)",1
"(9910188, 9309015)",1
"(9306153, 111154)",1
"(9907166, 8076)",1
"(9609174, 106053)",1
"(101109, 11037)",1
"(9610189, 10283)",1
"(105276, 2066)",1
"(10141, 7018)",1
"(10086, 5198)",1
"(9506098, 3263)",1
"(9901101, 9202)",1
"(9906064, 107257)",1
"(9806056, 3142)",1
"(9246, 7153)",1
"(9803001, 7067)",1
"(9711165, 110093)",1
"(110066, 2186)",1
"(9906192, 107184)",1
"(9712105, 106178)",1
"(9912208, 9904054)",1
"(9610043, 108198)",1
"(9501020, 106050)",1
"(9905111, 10169)",1
"(9910053, 108100)",1
"(9803235, 111046)",1
"(9712028, 12118)",1
"(9807235, 7087)",1
"(9605033, 104139)",1
"(9906223, 106013)",1
"(109213, 106191)",1
"(112098, 109152)",1
"(9403136, 5277)",1
"(9510017, 104082)",1
"(6118, 5122)",1
"(9803031, 105056)",1
"(9602077, 101031)",1
"(9204083, 110293)",1
"(9810221, 103122)",1
"(9705208, 5002)",1
"(9811215, 102079)",1
"(103155, 10282)",1
"(9711162, 6119)",1
"(9505161, 11136)",1
"(9906070, 103067)",1
"(9910268, 9706110)",1
"(9912257, 9803015)",1
"(10244, 2075)",1
"(11294, 7077)",0
"(9905159, 6033)",1
"(111013, 103013)",1
"(4147, 4074)",1
"(110187, 104155)",1
"(106113, 2145)",1
"(9612128, 108179)",1
"(9810070, 108026)",1
"(9510209, 112128)",1
"(12143, 6226)",1
"(9803135, 7104)",1
"(9412136, 3128)",1
"(12231, 3074)",1
"(9912012, 106191)",1
"(9610101, 7119)",1
"(9410167, 11197)",1
"(9242, 3035)",1
"(9903210, 105159)",1
"(5206, 3020)",1
"(9308090, 1121)",1
"(9904048, 4131)",1
"(9710176, 2221)",1
"(9912124, 4002)",1
"(9710014, 103033)",1
"(9512073, 111159)",1
"(9901122, 109150)",1
"(9909110, 5021)",1
"(110210, 104197)",1
"(112128, 109004)",1
"(9906162, 12121)",1
"(9809145, 112044)",1
"(106155, 8142)",1
"(1192, 1002)",1
"(103103, 9148)",1
"(9507012, 12131)",1
"(11185, 4131)",1
"(9504006, 109055)",1
"(9309025, 106011)",1
"(9802049, 5275)",1
"(9408160, 104203)",1
"(9911245, 10026)",1
"(9908172, 109014)",1
"(112040, 110232)",1
"(9711200, 104066)",1
"(104048, 2245)",1
"(11103, 4048)",1
"(9911041, 105166)",1
"(9912012, 7062)",1
"(4183, 2210)",1
"(9912250, 105218)",1
"(9502141, 103191)",1
"(9410067, 5060)",1
"(9212088, 1137)",1
"(9909134, 12074)",1
"(9812118, 107081)",1
"(9805110, 3169)",1
"(109162, 103069)",1
"(9906188, 105005)",1
"(107102, 5021)",1
"(10096, 5092)",1
"(9905002, 9242)",1
"(9801040, 108043)",1
"(9710046, 106201)",1
"(9156, 1193)",1
"(9802030, 3244)",1
"(9208032, 1124)",1
"(103022, 8076)",1
"(109017, 7172)",0
"(9710142, 105121)",1
"(9608019, 6172)",1
"(9806159, 5098)",1
"(9808141, 10045)",1
"(110046, 106048)",1
"(9407087, 2232)",1
"(12141, 5026)",1
"(9605107, 111192)",1
"(109187, 12081)",1
"(9403032, 109184)",1
"(9910150, 106249)",1
"(9310095, 8036)",1
"(106075, 104224)",1
"(9903022, 1106)",1
"(11233, 3113)",1
"(9510209, 1183)",1
"(9912279, 5091)",1
"(9903010, 2011)",1
"(9712059, 105176)",1
"(11030, 10232)",1
"(108238, 108102)",1
"(112140, 106191)",1
"(109170, 9042)",1
"(9603033, 109076)",1
"(9809164, 7036)",1
"(12046, 7175)",1
"(9807098, 10137)",1
"(9909215, 6019)",1
"(9203018, 110213)",1
"(9407087, 10233)",1
"(9809124, 12028)",1
"(9903044, 110145)",1
"(110170, 110099)",1
"(9803031, 4013)",1
"(9910052, 10151)",1
"(9810126, 2066)",1
"(9806054, 103101)",1
"(9703110, 5186)",1
"(11170, 10058)",1
"(9410193, 102189)",0
"(9205040, 6151)",1
"(9902120, 105174)",1
"(9808075, 5220)",1
"(9910228, 2149)",1
"(9902140, 1017)",1
"(11156, 2161)",1
"(4101, 3300)",1
"(9807184, 1087)",0
"(4187, 2186)",1
"(9901144, 107032)",1
"(9509166, 106259)",1
"(11088, 1182)",1
"(104150, 103031)",1
"(9906070, 111097)",1
"(9902047, 3203)",1
"(9907205, 7131)",1
"(9703217, 106062)",1
"(107177, 101096)",1
"(9806009, 3245)",1
"(9910023, 107032)",1
"(9712151, 9810252)",0
"(110059, 106044)",1
"(9211080, 5065)",1
"(9802068, 105012)",1
"(9810135, 102155)",1
"(107251, 7204)",1
"(9912207, 1110)",1
"(9503209, 102156)",1
"(9912186, 9910132)",1
"(111060, 11089)",1
"(9810239, 102150)",1
"(9411102, 108032)",1
"(9702076, 3284)",1
"(107178, 11125)",1
"(9903201, 10169)",1
"(9608096, 12075)",1
"(9403132, 9053)",1
"(9312014, 112100)",0
"(9505128, 106260)",1
"(9812132, 10129)",1
"(9603167, 6049)",1
"(9705124, 103221)",1
"(9903165, 3121)",1
"(9802150, 111227)",1
"(9704143, 11251)",1
"(1083, 1029)",1
"(103073, 10118)",1
"(9611075, 10005)",1
"(9903134, 8200)",1
"(12007, 11017)",1
"(9706108, 10155)",1
"(109126, 102165)",1
"(9903025, 103116)",1
"(6225, 5073)",1
"(9906230, 102140)",1
"(9807098, 1103)",1
"(9311177, 106103)",1
"(9403129, 9409061)",0
"(9912098, 9206071)",1
"(9201059, 8152)",1
"(9201067, 8200)",1
"(103115, 7018)",1
"(105089, 104217)",1
"(2067, 1105)",1
"(10240, 10190)",1
"(9508143, 112065)",1
"(105312, 9148)",1
"(9710119, 109151)",1
"(111106, 1216)",1
"(9504147, 8129)",1
"(107055, 11088)",1
"(9705130, 104089)",1
"(9608163, 106048)",1
"(9502133, 112095)",1
"(9605151, 103197)",1
"(9908028, 9248)",1
"(9406125, 9191)",1
"(9511030, 8226)",1
"(9910124, 9906127)",1
"(9802109, 103106)",1
"(7110, 2150)",1
"(9512145, 3226)",1
"(9804136, 1042)",1
"(9812013, 8058)",1
"(9804180, 108161)",1
"(12078, 12050)",1
"(5241, 2021)",1
"(9608082, 2207)",1
"(9409190, 5053)",1
"(9701082, 4149)",1
"(9905200, 9015)",1
"(9402032, 105118)",1
"(9901073, 4130)",1
"(9702201, 110151)",1
"(9912118, 4160)",1
"(9703128, 2123)",0
"(103219, 2230)",1
"(9607046, 109212)",1
"(9701122, 5028)",1
"(9701120, 10261)",1
"(106011, 7043)",1
"(9912185, 9711162)",1
"(112100, 102189)",0
"(107115, 10090)",1
"(9811212, 1110)",1
"(9404125, 101042)",0
"(102189, 105229)",0
"(9512062, 2223)",1
"(9509161, 104037)",1
"(9902161, 11093)",1
"(9610172, 6190)",1
"(9808149, 11236)",1
"(9902200, 4075)",1
"(9811246, 6035)",1
"(9407087, 11197)",1
"(108091, 101116)",1
"(106213, 3160)",1
"(9510201, 2026)",1
"(9711162, 4085)",1
"(110270, 3037)",1
"(9610043, 5047)",1
"(4076, 3208)",1
"(109121, 3012)",1
"(9611213, 8128)",1
"(9507121, 111126)",1
"(9511104, 2093)",1
"(9905210, 3052)",1
"(9911161, 112190)",1
"(9703157, 103170)",1
"(9811237, 6240)",1
"(9909058, 3020)",1
"(9909144, 110132)",1
"(3278, 2117)",1
"(9905111, 103247)",1
"(9910125, 102006)",1
"(9705093, 110069)",1
"(9808117, 3119)",1
"(9903059, 7222)",1
"(102145, 1071)",1
"(107057, 102125)",1
"(9309039, 6186)",1
"(9912082, 2118)",1
"(108065, 1113)",1
"(102208, 12141)",1
"(9509080, 9175)",1
"(9612111, 6099)",1
"(9911057, 4080)",1
"(9803167, 4009)",1
"(12081, 10240)",1
"(9601128, 2034)",1
"(12073, 11254)",1
"(9603061, 7195)",1
"(109180, 11006)",1
"(9812031, 10060)",1
"(6056, 3160)",1
"(108205, 11127)",1
"(103184, 4028)",1
"(9501030, 112071)",1
"(9704173, 4094)",1
"(105129, 102112)",1
"(9701017, 4026)",1
"(9611008, 1169)",1
"(9903216, 5147)",1
"(8247, 5026)",1
"(9909199, 5167)",1
"(9202015, 2211)",1
"(9907001, 106111)",1
"(9803205, 2027)",1
"(9307087, 110249)",1
"(102018, 2027)",1
"(9806022, 10163)",1
"(9405057, 107105)",1
"(9801105, 10118)",1
"(9711106, 111156)",1
"(9409061, 1082)",0
"(101029, 8013)",1
"(9609005, 11032)",1
"(9701125, 6058)",1
"(12024, 6209)",1
"(9309145, 107169)",1
"(9504081, 11236)",1
"(9806226, 107153)",1
"(9908076, 6134)",1
"(9712063, 101132)",1
"(6006, 4074)",1
"(9809039, 9067)",1
"(9703214, 109151)",1
"(102148, 1172)",1
"(105160, 1192)",1
"(102184, 11115)",1
"(9503207, 108035)",1
"(7128, 104055)",0
"(8118, 2075)",1
"(9309096, 1082)",0
"(110238, 109213)",1
"(106055, 11089)",1
"(9902123, 110189)",1
"(9611230, 11197)",1
"(12065, 11125)",1
"(9301042, 108075)",1
"(111006, 104036)",1
"(110286, 5025)",1
"(9810188, 101002)",1
"(106048, 11099)",1
"(5162, 1002)",1
"(9912167, 3180)",1
"(9911096, 110050)",1
"(9812219, 7155)",1
"(9705224, 3224)",1
"(9602111, 11292)",1
"(9909019, 5027)",1
"(9705005, 7031)",1
"(9803163, 109025)",1
"(9904207, 108202)",1
"(9909053, 6115)",1
"(9610043, 111200)",1
"(106096, 11009)",1
"(9906189, 3296)",1
"(9912052, 12212)",1
"(9810252, 109063)",0
"(9711165, 4104)",1
"(9712151, 9506001)",0
"(9912049, 3269)",1
"(9711097, 3231)",1
"(109031, 107214)",1
"(9407087, 4087)",1
"(9908142, 6112)",1
"(9906127, 101091)",1
"(9805139, 7173)",1
"(11006, 6139)",1
"(9712197, 106268)",1
"(9602135, 2116)",1
"(9511090, 5107)",1
"(112227, 108194)",1
"(9707202, 4147)",1
"(9611173, 1127)",1
"(9606112, 8194)",1
"(9512161, 1168)",1
"(4134, 1206)",1
"(9410054, 101052)",1
"(109054, 108075)",1
"(9710199, 3092)",1
"(103040, 4032)",1
"(9804085, 9051)",1
"(9409089, 9018)",1
"(9912038, 4147)",1
"(9606144, 5128)",1
"(9908060, 9155)",1
"(9803135, 110055)",1
"(9303122, 110168)",1
"(9805034, 106048)",1
"(10060, 8204)",1
"(108007, 2067)",1
"(9505056, 9910246)",0
"(12065, 3055)",1
"(9809043, 3211)",1
"(9907166, 104021)",1
"(9912192, 9802041)",1
"(9503179, 5076)",1
"(110046, 2171)",1
"(9803031, 1144)",1
"(10058, 9090)",1
"(9612052, 110240)",1
"(9503163, 5088)",1
"(9601150, 112071)",1
"(108034, 105299)",1
"(9909070, 2174)",1
"(105117, 6232)",1
"(9903225, 107126)",1
"(9612039, 1097)",1
"(9911161, 101013)",1
"(101003, 9202)",1
"(110299, 6030)",1
"(11033, 10021)",1
"(9812031, 5031)",1
"(9810116, 101199)",1
"(9805189, 103170)",1
"(9910023, 11230)",1
"(9909047, 3183)",1
"(9908023, 12249)",1
"(9604007, 111260)",1
"(9082, 8247)",1
"(9602136, 101119)",1
"(9703030, 103003)",1
"(9911147, 109054)",1
"(9101, 3122)",1
"(106259, 7013)",1
"(8083, 2073)",1
"(9204033, 107179)",0
"(105178, 1082)",0
"(9811178, 105038)",1
"(9708042, 9119)",1
"(9912033, 2078)",1
"(108156, 8190)",1
"(9905076, 8126)",1
"(8227, 5031)",1
"(6177, 3114)",1
"(8089, 5040)",1
"(9811210, 105146)",1
"(9409161, 9910246)",0
"(9906047, 2220)",1
"(9503124, 12037)",1
"(111229, 105108)",1
"(9306035, 9194)",1
"(109126, 11089)",1
"(102189, 5238)",0
"(9802032, 2029)",1
"(9710205, 109023)",1
"(9808149, 108205)",1
"(9304141, 108157)",1
"(9408099, 2232)",1
"(107024, 103037)",1
"(9902208, 110084)",1
"(9912150, 108135)",1
"(9712160, 2191)",1
"(9911177, 9904180)",1
"(101185, 2072)",1
"(9903196, 7061)",1
"(9911098, 2084)",1
"(107255, 5209)",1
"(9912044, 9909110)",1
"(9512155, 5067)",1
"(9909163, 11047)",1
"(9910160, 103178)",1
"(9910053, 105166)",1
"(9912072, 110191)",1
"(9510227, 5211)",1
"(9906148, 3168)",1
"(9711182, 9403143)",1
"(9811017, 108231)",1
"(9903094, 6103)",1
"(9902117, 8086)",1
"(9802109, 9107)",1
"(104232, 3032)",1
"(9903031, 9042)",1
"(111127, 10183)",1
"(107091, 106109)",1
"(9304141, 111261)",1
"(7209, 1071)",1
"(9705128, 101126)",1
"(9812158, 110186)",1
"(110055, 6139)",1
"(9912146, 108141)",1
"(9906228, 9806193)",1
"(9912254, 9908141)",1
"(106148, 102172)",1
"(9703028, 106146)",1
"(9612115, 10256)",1
"(9608163, 9207)",1
"(9512180, 1194)",1
"(9711165, 105094)",1
"(107251, 8199)",1
"(108092, 4056)",1
"(9512089, 104206)",1
"(9909204, 9079)",1
"(9812071, 6201)",1
"(11009, 9191)",1
"(9603117, 106260)",1
"(9906100, 9810182)",1
"(9703060, 11184)",1
"(9904087, 103246)",1
"(9504145, 10144)",1
"(9910047, 7021)",1
"(111041, 110297)",1
"(9809192, 105104)",1
"(9310056, 105054)",0
"(9609019, 10180)",1
"(9402107, 111222)",1
"(107028, 10274)",1
"(105307, 103139)",1
"(6193, 6112)",1
"(9302048, 6247)",1
"(9407061, 5238)",0
"(9508143, 2258)",1
"(9604179, 2069)",1
"(9403005, 9202076)",0
"(9810215, 9162)",1
"(9602070, 5032)",1
"(9605033, 7175)",1
"(9803234, 2173)",1
"(9606112, 7075)",1
"(9810072, 5210)",1
"(9912185, 5174)",1
"(111229, 110281)",1
"(9711200, 7041)",1
"(9812090, 9161)",1
"(9411122, 102199)",1
"(9804026, 7170)",1
